time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010446800000	18.3533	6.57689	5.07645	0.928605	0.382228	lidar	0.836492	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.496	6.78351	5.06838	0.951349	0.386786	radar	0.331686	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.6333	6.94039	5.02251	0.959888	0.378015	lidar	1.46664	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7766	7.14744	5.02364	0.978453	0.377645	radar	0.0150947	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9745	7.30213	5.01937	0.968712	0.351907	lidar	1.37452	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0929	7.51134	4.99785	0.994854	0.362146	radar	2.15348	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1717	7.76891	5.00149	1.03853	0.385124	lidar	1.12329	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2915	7.98572	4.9968	1.05983	0.387613	radar	0.108107	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3536	8.2029	4.9593	1.0948	0.402406	lidar	1.96854	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4574	8.42281	4.95358	1.11668	0.404061	radar	0.838046	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.5335	8.58167	4.8774	1.1321	0.401356	lidar	4.0365	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.627	8.80364	4.87044	1.1557	0.405692	radar	0.259442	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7943	8.98198	4.86667	1.14607	0.378948	lidar	1.70523	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8807	9.20519	4.85666	1.17055	0.385755	radar	0.555726	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	20.014	9.42647	4.87434	1.17689	0.373803	lidar	0.763684	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0846	9.65224	4.85736	1.20493	0.385086	radar	1.618	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.165	9.88654	4.86201	1.22669	0.387238	lidar	0.018482	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.2389	10.1159	4.8585	1.24823	0.389574	radar	0.396711	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2729	10.3799	4.87354	1.28593	0.405552	lidar	0.623433	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.3177	10.6133	4.85847	1.31574	0.416834	radar	1.64711	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3675	10.8827	4.88909	1.34446	0.423243	lidar	0.581423	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.412	11.121	4.88455	1.36893	0.426991	radar	0.384812	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.4248	11.3644	4.87703	1.40187	0.437458	lidar	0.412633	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.4266	11.6026	4.85475	1.44092	0.45787	radar	4.40717	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.4896	11.8565	4.87831	1.45374	0.448389	lidar	0.821889	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.5109	12.0962	4.87563	1.47648	0.447923	radar	1.03401	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.4749	12.3777	4.90313	1.5218	0.467603	lidar	1.18761	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.4566	12.6194	4.88875	1.55875	0.48388	radar	2.23786	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.4658	12.8678	4.89476	1.58008	0.481197	lidar	0.0589445	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.4503	13.1111	4.88957	1.60979	0.488242	radar	0.414844	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3831	13.3273	4.85302	1.65158	0.504535	lidar	2.17859	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.3503	13.5657	4.8482	1.68089	0.508877	radar	0.672371	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.3194	13.8215	4.86491	1.70734	0.509315	lidar	0.169412	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2696	14.0587	4.85927	1.73977	0.517627	radar	0.563539	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.199	14.307	4.86974	1.77517	0.525729	lidar	0.228568	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.135	14.5405	4.86511	1.80637	0.531018	radar	0.76437	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
